"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"BLR","","ALL","1985","93"
"PRT","","ALL","1994","87"
"TUR","","ALL","1990","16"
"PRT","","ALL","1995","94"
"FIN","","ALL","1988","99"
"GEO","","ALL","1995","32"
"","EU_MEMBERS","ALL","1994","67.90258961"
"LUX","","ALL","1992","50"
"MDA","","ALL","2004","99"
"ALB","","ALL","1981","93"
"FIN","","ALL","2009","99"
"ALB","","ALL","1995","97"
"GBR","","ALL","1986","96"
"","SEEHN","ALL","2005","91.16667129"
"","SEEHN","ALL","2002","90.5847671"
"AZE","","ALL","2015","98"
"MKD","","ALL","2005","99"
"AZE","","ALL","2014","98"
"RUS","","ALL","2013","96"
"ALB","","ALL","1998","87"
"FIN","","ALL","1992","99"
"BIH","","ALL","2004","95"
"BGR","","ALL","1988","99"
"TJK","","ALL","2009","83"
"BIH","","ALL","1993","24"
"PRT","","ALL","1990","88"
"LVA","","ALL","2012","94"
"AZE","","ALL","1996","93"
"","SEEHN","ALL","2014","89.62563203"
"RUS","","ALL","2005","97"
"TUR","","ALL","2012","96"
"MLT","","ALL","2012","93"
"ARM","","ALL","1990","82"
"","WHO_EURO","ALL","1994","78.47337099"
"RUS","","ALL","2009","96"
"LTU","","ALL","2016","98"
"FIN","","ALL","1998","99"
"BIH","","ALL","2008","96"
"GRC","","ALL","1992","76"
"IRL","","ALL","2009","95"
"PRT","","ALL","1992","92"
"BLR","","ALL","1984","92"
"SRB","","ALL","2000","99"
"SRB","","ALL","1990","76"
"UKR","","ALL","1995","95"
"","CIS","ALL","2014","92.8326062"
"UKR","","ALL","1994","92"
"GEO","","ALL","1990","95"
"","CARINFONET","ALL","2010","98.02854921"
"BLR","","ALL","2003","99"
"BLR","","ALL","1998","99"
"AZE","","ALL","1998","96"
"ALB","","ALL","1992","81"
"","SEEHN","ALL","2000","91.82501453"
"ALB","","ALL","1996","94"
"LVA","","ALL","1997","99"
"MKD","","ALL","1996","98"
"AZE","","ALL","2010","98"
"HUN","","ALL","1989","99"
"HUN","","ALL","1985","99"
"","EU_BEFORE_MAY2004","ALL","1983","74.14419261"
"MCO","","ALL","2002","90"
"BGR","","ALL","1990","99"
"BGR","","ALL","1991","99"
"PRT","","ALL","2003","81"
"BGR","","ALL","1981","97"
"TJK","","ALL","2003","99"
"HUN","","ALL","2003","99"
"SVK","","ALL","1995","92"
"","EU_AFTER_MAY2004","ALL","2011","96.69572673"
"TKM","","ALL","2011","98"
"ARM","","ALL","1994","83"
"BIH","","ALL","1997","97"
"LTU","","ALL","2007","99"
"ARM","","ALL","1999","93"
"RUS","","ALL","1992","86"
"TUR","","ALL","1983","65"
"TUR","","ALL","2000","82"
"IRL","","ALL","1999","90"
"TKM","","ALL","2009","99"
"FIN","","ALL","2008","97"
"ROU","","ALL","2011","99"
"UKR","","ALL","1999","99"
"HRV","","ALL","2009","99"
"KAZ","","ALL","2006","99"
"ALB","","ALL","1989","94"
"SWE","","ALL","1982","6"
"RUS","","ALL","2012","96"
"BLR","","ALL","1987","92"
"SWE","","ALL","1996","14"
"HRV","","ALL","1999","96"
"KAZ","","ALL","2012","95"
"ALB","","ALL","2011","97"
"ALB","","ALL","2002","94"
"ALB","","ALL","1993","82"
"EST","","ALL","2013","96"
"","SEEHN","ALL","2001","87.96738704"
"LVA","","ALL","1991","89"
"FRA","","ALL","1996","82"
"ARM","","ALL","2014","99"
"HUN","","ALL","1986","99"
"HUN","","ALL","1983","99"
"IRL","","ALL","2011","85"
"MCO","","ALL","1994","90"
"BIH","","ALL","2005","95"
"TJK","","ALL","1991","88"
"BGR","","ALL","1993","99"
"PRT","","ALL","1986","71"
"TKM","","ALL","1995","93"
"TKM","","ALL","2005","99"
"","EU_MEMBERS","ALL","2012","56.78697385"
"SVK","","ALL","1997","95"
"SVK","","ALL","2003","98"
"BIH","","ALL","1999","99"
"BIH","","ALL","1995","64"
"POL","","ALL","2014","92"
"RUS","","ALL","1996","93"
"FIN","","ALL","1997","99"
"EST","","ALL","2004","99"
"FIN","","ALL","2001","99"
"ARM","","ALL","1993","84"
"RUS","","ALL","2004","96"
"UZB","","ALL","2011","99"
"UKR","","ALL","2016","75"
"UKR","","ALL","2015","39"
"LTU","","ALL","1988","94"
"FIN","","ALL","1999","99"
"GEO","","ALL","1994","30"
"GEO","","ALL","1993","30"
"","EU_MEMBERS","ALL","1996","69.46429355"
"","EU_MEMBERS","ALL","1993","68.28198375"
"","CARINFONET","ALL","2009","96.01141673"
"FRA","","ALL","1985","82"
"LVA","","ALL","1995","99"
"LVA","","ALL","1998","99"
"LVA","","ALL","1999","99"
"ALB","","ALL","1991","80"
"LVA","","ALL","2000","99"
"MKD","","ALL","2000","97"
"HUN","","ALL","1980","99"
"HUN","","ALL","1984","99"
"SWE","","ALL","1985","16"
"HUN","","ALL","1982","99"
"BIH","","ALL","1998","92"
"ARM","","ALL","2003","92"
"BIH","","ALL","1991","34"
"MKD","","ALL","2003","95"
"KAZ","","ALL","1998","99"
"LVA","","ALL","2014","92"
"BIH","","ALL","2000","93"
"EST","","ALL","2002","99"
"TJK","","ALL","2008","89"
"TKM","","ALL","2007","99"
"KGZ","","ALL","2009","98"
"MLT","","ALL","2016","87"
"","WHO_EURO","ALL","1991","77.00915239"
"BGR","","ALL","1985","99"
"TUR","","ALL","1982","47"
"GRC","","ALL","1991","90"
"TKM","","ALL","1992","97"
"","CARINFONET","ALL","1992","94.79592852"
"EST","","ALL","1989","99"
"EST","","ALL","1995","99"
"GRC","","ALL","1999","88"
"SRB","","ALL","1991","81"
"SRB","","ALL","1999","82"
"","CIS","ALL","2015","91.46693436"
"UKR","","ALL","1993","89"
"BLR","","ALL","1988","93"
"BLR","","ALL","1991","94"
"SWE","","ALL","2012","24"
"GEO","","ALL","1988","93"
"","EU_MEMBERS","ALL","1983","83.79908423"
"ARM","","ALL","2011","96"
"ARM","","ALL","2008","98"
"ALB","","ALL","1988","92"
"ALB","","ALL","1990","94"
"HUN","","ALL","1981","99"
"LVA","","ALL","1996","99"
"LTU","","ALL","2012","98"
"ARM","","ALL","2012","96"
"IRL","","ALL","1983","75"
"FIN","","ALL","1991","99"
"TJK","","ALL","1999","98"
"FIN","","ALL","1990","91"
"EST","","ALL","1998","99"
"","EU_AFTER_MAY2004","ALL","2010","96.32207936"
